sidebar_position,slug,parent,title,status,post_type,seo_title,seo_keywords,seo_description,handson_overview
1,introduction,,シェルスクリプト入門,draft,pages,シェルスクリプト入門 | 基礎から学ぶ最初のステップ,"シェルスクリプト 入門, 初心者, 基礎, 環境構築",シェルスクリプトの世界へようこそ。この章では、スクリプトの基本概念から環境構築、そして最初の「Hello World!」まで、初心者がつまずかずに学べるよう丁寧にガイドします。,シェルの基本操作を確認し、スクリプトファイルを作成して実行するまでの一連の流れを体験します。
2,what-is-shell-script,introduction,シェルスクリプトとは？,draft,pages,シェルスクリプトとは？ | 基礎概念とメリットを理解する,"シェルスクリプト, 基礎, 概念, メリット, 自動化",シェルスクリプトの基本概念、コマンドを記述したファイルとしての役割、自動化の基礎となる仕組みについて初心者向けに解説します。,簡単なコマンドの組み合わせで、日常作業を効率化できることを体験します。
3,shell-history,introduction,シェルの歴史,draft,pages,シェルの歴史 | UNIXからBash、Zshまでの進化の道のり,"シェル 歴史, UNIX, Thompson Shell, Bourne Shell, Bash, Zsh",UNIXの誕生から現代のシェル環境まで、シェルの歴史と進化を辿ります。各シェルの特徴と時代背景を理解することで、より深い知識を得られます。,歴史的な各シェルの違いと特徴を実際にコマンドで確認します。
4,unix-birth-thompson-shell,shell-history,UNIXの誕生とThompson Shell,draft,pages,UNIXの誕生とThompson Shell | シェルの原点,"UNIX, Thompson Shell, Ken Thompson, シェル 起源",1969年、Ken ThompsonによるUNIXの誕生と、最初のシェルであるThompson Shellの特徴と歴史的意義を解説します。,Thompson Shellの基本的な動作原理を理解します。
5,bourne-shell,shell-history,Bourne Shell (sh) の登場,draft,pages,Bourne Shell (sh) の登場 | 標準シェルの確立,"Bourne Shell, sh, Stephen Bourne, POSIX",1977年にStephen Bourneが開発したBourne Shellは、現代のシェルの基礎となりました。その革新的な機能と影響を解説します。,shコマンドの基本的な使い方を確認します。
6,c-shell-tcsh,shell-history,C Shell (csh) とTcsh,draft,pages,C Shell (csh) とTcsh | C言語風の構文を持つシェル,"C Shell, csh, tcsh, Bill Joy",Bill Joyが開発したC Shellとその拡張版Tcshの特徴、C言語風の構文がもたらした利便性について解説します。,C Shellの独自機能を試してみます。
7,korn-shell-innovation,shell-history,Korn Shell (ksh) の革新,draft,pages,Korn Shell (ksh) の革新 | 高機能シェルの登場,"Korn Shell, ksh, David Korn, AIX",David Kornが開発したKorn Shellの革新的な機能と、商用UNIXでの採用について解説します。,Korn Shellの先進的な機能を体験します。
8,bash-birth-popularity,shell-history,Bash の誕生と普及,draft,pages,Bash の誕生と普及 | デファクトスタンダードへの道,"Bash, GNU, Brian Fox, Linux, デファクトスタンダード",1989年にGNUプロジェクトで生まれたBashが、どのようにしてデファクトスタンダードになったのかを解説します。,Bashの豊富な機能を実際に使ってみます。
9,zsh-evolution-modernization,shell-history,Zsh の進化と現代化,draft,pages,Zsh の進化と現代化 | モダンシェルの代表格,"Zsh, Z Shell, Oh My Zsh, macOS, モダンシェル",1990年から開発が続くZshの進化と、Oh My Zshによる使いやすさの向上、macOSでの標準採用について解説します。,Zshの便利な補完機能を体験します。
10,modern-shell-environment,shell-history,現代のシェル環境,draft,pages,現代のシェル環境 | 多様化するシェルの世界,"モダンシェル, Fish, PowerShell, クロスプラットフォーム",Fish、PowerShellなど、現代の多様なシェル環境と、それぞれの特徴・用途について解説します。,複数のシェルを比較して違いを確認します。
11,shell-future-development,shell-history,シェルの未来と発展,draft,pages,シェルの未来と発展 | 次世代シェルの可能性,"シェル 未来, AI統合, クラウドネイティブ, 自動化",AI統合やクラウドネイティブ対応など、シェルの未来の発展方向性について考察します。,最新のシェル技術トレンドを調査します。
12,why-learn-shell-script,introduction,なぜシェルスクリプトを学ぶのか,draft,pages,なぜ今シェルスクリプトを学ぶのか？自動化と生産性向上の鍵,"シェルスクリプト メリット, 自動化, なぜ学ぶ, 生産性向上",日常的な反復作業を自動化し、開発ワークフローを劇的に効率化するシェルスクリプトの強力なメリットを解説します。,身の回りの手作業を特定し、それを自動化する簡単なスクリプトの構想を立てます。
13,environment,introduction,環境構築,draft,pages,"シェルスクリプト実行環境の構築ガイド | macOS, Windows, Linux","シェルスクリプト 環境構築, WSL, Mac, Linux, Bash",macOS、Windows (WSL)、Linuxの各OSでシェルスクリプトを実行するための環境設定手順を詳しく解説します。,各OSのターミナルを起動し、Bashのバージョンを確認します。
14,macos,environment,macOS,draft,pages,macOSで始めるシェルスクリプト環境構築,"macOS, シェルスクリプト, 環境構築, Homebrew, iTerm2",macOSに標準搭載のBash/Zshを使いこなすための設定や、Homebrew、iTerm2といった便利なツール導入法を解説します。,Homebrewを使って最新のbashとshellcheckをインストールします。
15,windows-wsl,environment,Windows (WSL),draft,pages,Windows(WSL)で始めるシェルスクリプト環境構築,"Windows, WSL, シェルスクリプト, 環境構築, Ubuntu",Windows Subsystem for Linux (WSL)を有効化し、Ubuntuを導入して本格的なLinux環境を構築する手順を解説します。,Microsoft StoreからUbuntuをインストールし、WSLを起動します。
16,linux,environment,Linux,draft,pages,Linuxで始めるシェルスクリプト環境構築,"Linux, シェルスクリプト, 環境構築, Ubuntu, CentOS",主要なLinuxディストリビューション(Ubuntu、CentOS)におけるシェル環境の確認と、開発に役立つツールのインストール方法を解説します。,パッケージマネージャを使い、開発ツールをインストールします。
17,shell-types-features,introduction,シェルの種類と特徴,draft,pages,シェルの種類と特徴 | 各シェルの違いを理解する,"シェル 種類, Bash, Zsh, Fish, Dash, 比較",様々なシェルの種類と特徴、用途に応じた使い分け、POSIXとの互換性について体系的に学びます。,複数のシェルを切り替えて、それぞれの特徴を体験します。
18,what-is-shell,shell-types-features,シェルとは何か,draft,pages,シェルとは何か | OSとユーザーをつなぐインターフェース,"シェル, コマンドインタープリタ, カーネル, インターフェース",シェルの基本的な役割、カーネルとの関係、コマンドインタープリタとしての機能について解説します。,シェルがコマンドをどのように解釈・実行するか確認します。
19,bash,shell-types-features,Bash (Bourne Again Shell),draft,pages,Bash (Bourne Again Shell) | 最も広く使われるシェル,"Bash, Bourne Again Shell, GNU, Linux標準",最も広く使われているBashの特徴、歴史、基本設定、スクリプトの書き方について詳しく解説します。,Bashの主要な機能を実際に使ってみます。
20,bash-features-history,bash,Bashの特徴と歴史,draft,pages,Bashの特徴と歴史 | GNUプロジェクトが生んだ標準シェル,"Bash 特徴, Bash 歴史, GNU, Brian Fox",Bashの開発背景、主要な機能、なぜデファクトスタンダードになったのかを解説します。,Bashの独自機能を確認します。
21,bash-basic-configuration,bash,Bashの基本設定,draft,pages,Bashの基本設定 | .bashrcと.bash_profileの使い方,"Bash 設定, .bashrc, .bash_profile, 環境設定",Bashの設定ファイル（.bashrc、.bash_profile）の役割と、カスタマイズ方法を解説します。,自分好みのBash環境を設定します。
22,bash-script-writing,bash,Bashスクリプトの書き方,draft,pages,Bashスクリプトの書き方 | 基本構文とベストプラクティス,"Bashスクリプト, 書き方, シェバング, ベストプラクティス",Bashスクリプトの基本的な書き方、シェバング、デバッグ方法などを解説します。,実用的なBashスクリプトを作成します。
23,zsh,shell-types-features,Zsh (Z Shell),draft,pages,Zsh (Z Shell) | macOSの標準シェル,"Zsh, Z Shell, macOS標準, Oh My Zsh",macOSの標準シェルであるZshの特徴、Bashとの違い、カスタマイズ方法について解説します。,Zshの強力な補完機能を体験します。
24,zsh-features-differences,zsh,Zshの特徴とBashとの違い,draft,pages,Zshの特徴とBashとの違い | より強力な補完と拡張性,"Zsh 特徴, Bash 違い, 補完機能, プロンプト",Zshの独自機能、Bashとの互換性、移行時の注意点について詳しく解説します。,ZshとBashで同じスクリプトを実行して違いを確認します。
25,oh-my-zsh-customization,zsh,Oh My Zshとカスタマイズ,draft,pages,Oh My Zshとカスタマイズ | Zshを使いやすくする,"Oh My Zsh, Zsh カスタマイズ, テーマ, プラグイン",Oh My Zshのインストール方法、テーマやプラグインによるカスタマイズ方法を解説します。,Oh My Zshをインストールして、人気のテーマを試します。
26,zsh-script-compatibility,zsh,Zshスクリプトの互換性,draft,pages,Zshスクリプトの互換性 | Bashスクリプトとの相互運用,"Zsh 互換性, Bash 互換, スクリプト 移植",ZshでBashスクリプトを実行する際の注意点、互換性の問題と対処法を解説します。,BashスクリプトをZshで実行して互換性を確認します。
27,fish,shell-types-features,Fish (Friendly Interactive Shell),draft,pages,Fish (Friendly Interactive Shell) | ユーザーフレンドリーなシェル,"Fish, Friendly Interactive Shell, ユーザビリティ, 自動補完",ユーザーフレンドリーを追求したFishシェルの特徴と、POSIXとの非互換性について解説します。,Fishの直感的な自動補完機能を体験します。
28,fish-features-usability,fish,Fishの特徴とユーザビリティ,draft,pages,Fishの特徴とユーザビリティ | 初心者に優しい設計思想,"Fish 特徴, ユーザビリティ, 自動補完, シンタックスハイライト",Fishの革新的な機能、Webベースの設定画面、優れたユーザビリティについて解説します。,Fishの便利な機能を実際に使ってみます。
29,fish-posix-differences,fish,FishとPOSIXシェルの違い,draft,pages,FishとPOSIXシェルの違い | 互換性よりも使いやすさを優先,"Fish POSIX, 非互換, 独自構文, 移植性",FishがPOSIX準拠を捨てて得た利便性と、その代償について解説します。,POSIXスクリプトとFishスクリプトの違いを確認します。
30,dash,shell-types-features,Dash (Debian Almquist Shell),draft,pages,Dash (Debian Almquist Shell) | 軽量高速なPOSIXシェル,"Dash, Debian Almquist Shell, 軽量, 高速, POSIX",Debian/Ubuntuのシステムシェルとして採用されているDashの特徴と用途を解説します。,Dashの高速性をベンチマークで確認します。
31,dash-lightweight-performance,dash,Dashの軽量性とパフォーマンス,draft,pages,Dashの軽量性とパフォーマンス | システムスクリプトに最適,"Dash パフォーマンス, 軽量シェル, 起動速度, メモリ使用量",Dashが実現する高速起動と低メモリ使用量、その実装の秘密を解説します。,DashとBashの起動速度を比較測定します。
32,system-script-usage,dash,システムスクリプトでの利用,draft,pages,システムスクリプトでのDash利用 | /bin/shの正体,"Dash システムスクリプト, /bin/sh, init, 起動スクリプト",多くのLinuxディストリビューションで/bin/shがDashを指す理由と、その影響を解説します。,システムスクリプトでのDashの使用例を確認します。
