slug,parent,title,filepath,status,post_type,target,goal,seo_title,seo_keywords,seo_description,handson_overview
home,,Next.js実践開発マスターガイド,contents/home.md,not_started,pages,初学者,"サイトの全体像とNext.js学習のロードマップを提示し、ユーザーが自分のレベルに応じた学習パスを見つけられるようガイドする","Next.js実践開発マスターガイド | 基礎から実践まで体系的に学習","Next.js 学習, Next.js ガイド, Next.js マスター, React フレームワーク","Next.js開発を基礎から実践まで体系的に学べる総合ガイド。初心者から上級者まで段階的にスキルアップできる実践的なカリキュラム",不要
getting-started,,はじめに,contents/getting-started/getting-started.md,not_started,pages,初学者,"本サイトに初めて訪れたターゲットに対して、本サイトの目的や内容を理解してもらい、Next.jsを学習するための入口として機能させる","Getting Started - Next.js完全マスターガイド","Next.js 入門, Next.js チュートリアル, Getting Started, 初心者ガイド","Next.js学習を始めるための完全ガイド。環境構築から基本概念まで、初心者が迷わずに学習を進められる体系的なコンテンツ",不要
overview,getting-started,概要,contents/getting-started/overview.md,not_started,pages,初学者,"Next.jsの基本概念、全体像、メリット・デメリットなどを理解してもらう","Next.js基本概念解説 | フレームワークの全体像を理解","Next.js 概念, Next.js 基礎, React フレームワーク, SSG SSR","Next.js学習に必要な基本概念を体系的に解説。React、SSG、SSR、App Routerなど重要な用語と技術的背景を初心者向けに分かりやすく説明",不要
setup,getting-started,環境構築,contents/getting-started/setup.md,not_started,pages,初学者,"Next.js開発環境の構築手順を提供し、実際にNext.jsプロジェクトを開始できる状態にする","Next.js環境構築ガイド | 開発環境セットアップ完全手順","Next.js インストール, 環境構築, Node.js セットアップ, 開発環境, VS Code設定","Next.js学習に必要な開発環境をステップバイステップで構築。Node.js、VS Code、Git設定からプロジェクト作成まで初心者向けに詳しく解説","Node.jsのインストール、VSCodeのインストール、Gitのインストール・設定、Next.jsプロジェクトの作成、開発サーバー起動の手順を掲載"
quickstart,getting-started,クイックスタート,contents/getting-started/quickstart.md,not_started,pages,初学者,"Next.jsの基本的な使い方を実際に体験してもらい、次のレベルの学習への意欲を高める","Next.jsクイックスタート | 10分で基本をマスター","Next.js クイックスタート, Next.js 基本, ページ作成, ルーティング","Next.jsの基本を10分で理解できるクイックスタートガイド。実際にアプリを作りながら学習","基本的なページ作成、ファイルベースルーティング、コンポーネント作成、スタイリングの基本操作を確認する手順を掲載"
react-foundation,,React基礎復習,contents/react-foundation/react-foundation.md,not_started,pages,中級開発者,"Reactの基礎知識を復習し、Next.jsを学習するための準備を整える","React基礎復習完全ガイド | Next.js学習への準備","React 基礎, React 復習, React 入門, Next.js 準備","Reactの基礎知識を復習し、Next.jsを学習するためのガイド。Reactの基本概念、コンポーネント、状態管理、ライフサイクルを詳しく解説",不要
components,react-foundation,コンポーネント,contents/react-foundation/components/components.md,not_started,pages,中級開発者,"Reactコンポーネントの全体像を理解し、基礎から応用まで体系的に学習する","Reactコンポーネント完全ガイド | 基礎から実践まで","React コンポーネント, JSX, 関数コンポーネント, Props State","Reactコンポーネントの基本概念から実践的な使い方まで体系的に解説",不要
component-basics,components,コンポーネントの基礎,contents/react-foundation/components/component-basics.md,not_started,pages,中級開発者,"Reactコンポーネントの基本概念、コンポーネントの作成方法、コンポーネントの使い方を理解してもらう","Reactコンポーネントの基礎 | 関数コンポーネント完全マスター","React コンポーネント, JSX, 関数コンポーネント, React 基礎","Reactのコンポーネントの基本概念、コンポーネントの作成方法、コンポーネントの使い方を詳しく解説","基本的な関数コンポーネント作成、JSX記法の実践、Props受け渡し、コンポーネント合成を確認するハンズオン手順を掲載"
props-state,components,Props と State の完全理解,contents/react-foundation/components/props-state.md,not_started,pages,中級開発者,"Reactにおけるデータの流れ。Propsによる親子間通信とStateによる内部状態管理の実践的な使い方を理解する","Props と State の完全理解 | Reactデータフロー基礎","React Props, React State, データフロー, 状態管理, 親子コンポーネント","ReactのPropsとStateを実例で学ぶ。データフローとコンポーネント間通信の基礎","Props渡し、State更新、イベントハンドリング、フォーム処理の基本パターンを確認する手順を掲載"
event-handling,components,イベントハンドリング,contents/react-foundation/components/event-handling.md,not_started,pages,中級開発者,"Reactにおけるイベントハンドリングの基本と実践的なパターンを理解する","Reactイベントハンドリング | ユーザーインタラクション完全ガイド","React イベント, イベントハンドリング, onClick, onChange, フォーム","Reactのイベントハンドリングとユーザーインタラクションの実装パターン","クリックイベント、フォーム入力、キーボードイベント、条件付きレンダリングの実装手順を掲載"
hooks,react-foundation,Hooks,contents/react-foundation/hooks/hooks.md,not_started,pages,中級開発者,"React Hooksの全体像を理解し、useState、useEffect、カスタムフックまで体系的に学習する","React Hooks 完全マスターガイド | 関数コンポーネントの状態管理","React Hooks, useState, useEffect, カスタムフック, 関数コンポーネント","React Hooksの基本から実践まで、関数コンポーネントでの状態管理を体系的に習得",不要
hooks-overview,hooks,Hooks概要,contents/react-foundation/hooks/hooks-overview.md,not_started,pages,中級開発者,"React Hooksの登場背景と基本概念を理解し、関数コンポーネントでの状態管理の現代的アプローチを把握する","React Hooks 基本概念 | 関数コンポーネントの状態管理","React Hooks, useState, useEffect, 関数コンポーネント, 状態管理","React Hooksの基本概念と設計思想を理解する導入編",不要
usestate-useeffect,hooks,useState と useEffect,contents/react-foundation/hooks/usestate-useeffect.md,not_started,pages,中級開発者,"最も重要なHooksであるuseStateとuseEffectの詳細解説。副作用の適切な管理とパフォーマンス最適化","useState と useEffect の実践的な使い方 | 副作用管理とパフォーマンス最適化","React useState, React useEffect, 副作用, ライフサイクル, 依存配列","useStateとuseEffectの実践的な使い方。副作用管理とパフォーマンス最適化のコツ","useState基本操作、useEffect依存配列、クリーンアップ関数、カスタムフックの基本を確認する手順を掲載"
custom-hooks,hooks,カスタムフック,contents/react-foundation/hooks/custom-hooks.md,not_started,pages,中級開発者,"独自のHooksを作成してロジックを再利用。実際のプロジェクトでよく使われるカスタムフックパターン","カスタムフックで再利用可能なロジック作成 | useLocalStorage・useFetch実装","React カスタムフック, 再利用, ロジック分離, useLocalStorage, useFetch","カスタムフックの作り方と実践的なパターン。ロジックの再利用とコンポーネント設計","useLocalStorage、useFetch、useToggleなどの実用的なカスタムフック実装手順を掲載"
state-management,react-foundation,状態管理,contents/react-foundation/state-management/state-management.md,not_started,pages,中級開発者,"Reactにおける状態管理の全体像を理解し、ローカル状態からグローバル状態まで体系的に学習する","React状態管理完全ガイド | ローカル・グローバル状態の設計","React 状態管理, useReducer, Context API, 状態設計","Reactの状態管理パターンを体系的に学び、適切な設計手法を習得",不要
local-state,state-management,ローカル状態管理,contents/react-foundation/state-management/local-state.md,not_started,pages,中級開発者,"コンポーネント内でのstate管理のベストプラクティス。useReducerによる複雑な状態管理","Reactローカル状態管理パターン | useReducer活用法","React 状態管理, useReducer, ローカル状態, 状態設計","Reactローカル状態管理の最適な設計パターンとuseReducerの活用法","useReducerパターン、複雑な状態管理、状態の正規化、パフォーマンス最適化の手順を掲載"
context-api,state-management,Context API活用,contents/react-foundation/state-management/context-api.md,not_started,pages,中級開発者,"Context APIを使ったアプリケーション全体での状態共有。プロバイダーパターンとパフォーマンス考慮事項","Context APIによるグローバル状態管理 | プロバイダーパターン実装","React Context API, グローバル状態, プロバイダーパターン, 状態共有","Context APIでグローバル状態を効率的に管理する方法とパフォーマンス最適化","Context作成、Provider設定、useContext使用、状態分離パターンの実装手順を掲載"
performance,react-foundation,パフォーマンス基礎,contents/react-foundation/performance/performance.md,not_started,pages,中級開発者,"Reactアプリのパフォーマンス最適化の全体像を理解し、基本的な最適化手法を習得する","Reactパフォーマンス最適化基礎 | 高速化の基本手法","React パフォーマンス, React.memo, useMemo, useCallback, 最適化","Reactアプリのパフォーマンス最適化の基本原則と実践手法",不要
react-performance,performance,Reactパフォーマンス基礎,contents/react-foundation/performance/react-performance.md,not_started,pages,中級開発者,"React.memo、useMemo、useCallbackを使ったパフォーマンス最適化。レンダリング最適化の基本原則","Reactパフォーマンス最適化の基礎 | memo・useMemo・useCallback活用","React パフォーマンス, React.memo, useMemo, useCallback, 最適化","Reactアプリのパフォーマンスを改善する基本的な最適化テクニック","React.memo、useMemo、useCallback、レンダリング最適化、パフォーマンス計測の手順を掲載"
nextjs-basics,,Next.js基礎,contents/nextjs-basics/nextjs-basics.md,not_started,pages,中級開発者,"Next.jsの基本機能を体系的に学習し、実際のプロジェクトで活用できるスキルを身につける","Next.js基礎完全ガイド | Pages Routerからデプロイまで","Next.js 基礎, Pages Router, データフェッチング, 最適化, デプロイ","Next.jsの基本機能を体系的に学習。Pages Routerからデータフェッチング、最適化、デプロイまでを実践的に習得",不要
introduction,nextjs-basics,導入,contents/nextjs-basics/introduction/introduction.md,not_started,pages,中級開発者,"Next.jsフレームワークの全体像やメリット・デメリットなどを理解する","Next.js導入ガイド | フレームワークの特徴と選択理由","Next.js 導入, React フレームワーク, SSR SSG","Next.jsフレームワークの特徴と導入メリットを体系的に理解",不要
nextjs-vs-react,introduction,Next.js vs React,contents/nextjs-basics/introduction/nextjs-vs-react.md,not_started,pages,中級開発者,"ReactとNext.jsの違いを理解し、Next.js独自の機能とメリットを把握してもらう","Next.js と React の違い完全解説 | フレームワークの選択基準","Next.js React 違い, SSR SSG, フレームワーク比較","ReactとNext.jsの違いを分かりやすく解説。SSR・SSGの仕組みと選択基準を実例とともに紹介",不要
