sidebar_position,slug,parent,title,status,post_type,seo_title,seo_keywords,seo_description,handson_overview
1,introduction,,基礎編：プロンプトエンジニアリング入門,draft,pages,"プロンプトエンジニアリング入門 | LLMを最大限に活用する技術","プロンプトエンジニアリング, 入門, LLM, AI, 基礎","LLMの能力を最大限に引き出すプロンプトエンジニアリングの基本概念から重要性までを解説。AI開発の新たな標準スキルを学びましょう。","本セクションの概要と、プロンプトエンジニアリングがなぜ重要なのかを理解する。"
2,overview-and-importance,introduction,概要と重要性,draft,pages,"プロンプトエンジニアリングの概要と重要性 | AI時代必須のスキル","プロンプトエンジニアリングとは, LLM 活用, AI コミュニケーション","プロンプトエンジニアリングがなぜ現代のAI開発において不可欠なスキルであるかを解説し、その基本的な役割と目的を学びます。","簡単なプロンプトを実際に作成し、LLMからの応答がどう変わるかを体験する。"
3,basic-principles,introduction,基本原則,draft,pages,"効果的なプロンプトの基本原則 | 指示・コンテキスト・出力形式","プロンプト 設計, 基本原則, 効果的なプロンプト, 書き方","明確で効果的なプロンプトを作成するための構成要素（役割、指示、コンテキスト、出力形式）を学び、LLMとの対話を最適化します。","与えられたタスクに対し、基本原則に基づいたプロンプトを作成する練習を行う。"
4.quick-start,introduction,クイックスタート,draft,pages,"5分で始めるプロンプト作成 | クイックスタートガイド","プロンプトエンジニアリング クイックスタート, 簡単 プロンプト, 初心者","APIを使わずに、Web上のプレイグラウンドで最初のプロンプトを作成し、即座に結果を得る手順をステップバイステップで解説します。","ChatGPTやClaudeのWeb UIを使い、自己紹介文を生成させるプロンプトを作成してみる。"
5,glossary,introduction,用語集,draft,pages,"プロンプトエンジニアリング用語集 | LLM・AI関連キーワード解説","プロンプトエンジニアリング 用語, LLM 用語集, AI 用語","プロンプトエンジニアリングの学習に必須の専門用語（トークン、ファインチューニング、RAGなど）を分かりやすく解説します。","用語集を参照しながら、特定の技術（Few-Shotなど）を説明するプロンプトを作成する。"
6,setup-guide,,環境構築ガイド,draft,pages,"プロンプトエンジニアリング開発環境構築ガイド | API設定からコスト管理まで","開発環境, API設定, コスト管理, セキュリティ, プロンプトエンジニアリング","PythonやNode.jsでの開発環境セットアップ、主要LLMのAPIキー設定、コスト管理やセキュリティのベストプラクティスを学びます。","本セクションで解説する手順に沿って、ローカルマシンに完全な開発環境を構築する。"
7,dev-environment-setup,setup-guide,開発環境セットアップ,draft,pages,"Python/Node.js 開発環境セットアップ | プロンプトエンジニアリング","Python 環境構築, Node.js 環境構築, パッケージ管理, venv, npm","PythonのvenvやNode.jsのnpmを使った、クリーンで再現性の高いプロンプトエンジニアリング用開発環境の構築手順を解説します。","Pythonと`requests`ライブラリをインストールし、簡単なAPIリクエストを送信するスクリプトを実行する。"
8,api-configuration,setup-guide,API設定ガイド,draft,pages,"OpenAI・Claude・Gemini API設定ガイド | APIキー取得と認証","OpenAI API, Claude API, Gemini API, APIキー, 認証","OpenAI、Anthropic、Googleの主要LLMプラットフォームのAPIキーを取得し、環境変数に安全に設定する方法を解説します。","取得したAPIキーを使い、cURLやPythonで各LLMに認証リクエストを送信し、接続を確認する。"
9,cost-management,setup-guide,コスト管理,draft,pages,"LLM APIコスト管理術 | トークン数計算と予算最適化","LLM コスト, API 料金, トークン 計算, コスト最適化","API利用料金の仕組みを理解し、プロンプトのトークン数を計算する方法や、予算内でLLMを活用するためのコスト削減テクニックを学びます。","サンプルプロンプトのトークン数を手動またはライブラリで計算し、APIコールの推定コストを見積もる。"
10,security-settings,setup-guide,セキュリティ設定,draft,pages,"APIキー管理とセキュリティ | 安全なLLMアプリケーション開発","APIキー セキュリティ, 環境変数, シークレット管理, .env","APIキーを安全に管理するためのベストプラクティス（.envファイル、環境変数、シークレット管理ツール）を学び、情報漏洩リスクを防ぎます。","`.env`ファイルを作成し、APIキーを環境変数として読み込むPythonスクリプトを作成・実行する。"
11,practical-techniques,,実践テクニック集,draft,pages,"プロンプトエンジニアリング実践テクニック集 | 基本から高度な手法まで","プロンプトテクニック, Few-Shot, Chain-of-Thought, ReAct","基本的なFew-Shot Learningから、CoTやReActといった高度なプロンプティング技術まで、LLMの性能を飛躍させるテクニックを実践的に学びます。","簡単なタスクに対し、Zero-ShotとFew-Shotのプロンプトを両方作成し、結果の質を比較する。"
12,basic-techniques,practical-techniques,基本技術,draft,pages,"プロンプトエンジニアリングの基本技術 | Few-Shot・システムプロンプト","Few-Shot Learning, システムプロンプト, コンテキスト管理","Zero-Shot, One-Shot, Few-Shot Learningの違いを理解し、システムプロンプトの設計やコンテキスト管理の基本をマスターします。","特定のペルソナ（例：親切なアシスタント）になりきるシステムプロンプトを作成し、対話のトーンが変わることを確認する。"
13,few-shot-learning,basic-techniques,Zero-Shot / One-Shot / Few-Shot Learning,draft,pages,"Few-Shot Learning実践ガイド | プロンプトでLLMを即時教育","Few-Shot Learning, One-Shot, Zero-Shot, プロンプト 例","プロンプト内に少数の例（ショット）を含めることで、LLMの応答精度を劇的に向上させるFew-Shot Learningの具体的な実装方法を学びます。","簡単な感情分析タスク（ポジティブ/ネガティブ）に対し、3つの例文を含むFew-Shotプロンプトを作成する。"
14,system-prompt-design,basic-techniques,システムプロンプトの設計,draft,pages,"システムプロンプト設計入門 | LLMの役割とトーンを制御する","システムプロンプト, ペルソナ設定, 出力形式 指定, AI 役割","LLMに特定の役割（ペルソナ）を与え、応答のスタイルや形式を制御するシステムプロンプトの効果的な設計方法とベストプラクティスを解説します。","専門的な技術ブログ記事の著者として振る舞うシステムプロンプトを設計し、記事の冒頭部分を生成させる。"
15,context-management,basic-techniques,コンテキスト管理とメモリ最適化,draft,pages,"コンテキスト管理とメモリ最適化 | 長い対話でも性能を維持する技術","コンテキストウィンドウ, 長文要約, メモリ 最適化, トークン削減","LLMのコンテキストウィンドウの制約を理解し、長い対話でも文脈を維持するための要約技術やメモリ管理、トークン削減戦略を学びます。","長い記事を複数のチャンクに分割し、それぞれを要約してから最終的な統合要約を作成するプロンプトを設計する。"
16,advanced-techniques,practical-techniques,高度な技術,draft,pages,"高度なプロンプティング技術 | CoT・ReAct・ToT・Self-Consistency","Chain-of-Thought, ReAct, Tree of Thoughts, Self-Consistency","複雑な推論を可能にするCoT、外部ツールと連携するReActなど、LLMの能力を極限まで引き出す最先端のプロンプティング技術を解説します。","簡単な算数問題に対し、思考プロセスを記述させるChain-of-Thoughtプロンプトを作成する。"
17,chain-of-thought,advanced-techniques,Chain-of-Thought (CoT) プロンプティング,draft,pages,"Chain-of-Thought (CoT) 実践 | LLMに複雑な推論を行わせる方法","Chain-of-Thought, CoT, 論理的推論, プロンプト","LLMに思考の連鎖（Chain of Thought）をステップバイステップで記述させることで、複雑な論理・算術問題の正答率を向上させる技術を学びます。","複数ステップの計画が必要な問題（例：旅行計画）を提示し、CoTを用いてステップごとの計画を立てさせる。"
18,react-framework,advanced-techniques,ReAct フレームワークの実装,draft,pages,"ReActフレームワーク実装ガイド | LLMに思考と行動を両立させる","ReAct フレームワーク, ツール連携, エージェント, API連携","LLMが思考（Reason）と行動（Act）を交互に行い、外部ツール（API、検索エンジン）と連携してタスクを解決するReActフレームワークを実装します。","「今日の東京の天気は？」という質問に対し、ReActの思考プロセス（検索クエリを考える→検索する→結果を要約する）をシミュレートするプロンプトを作成する。"
19,tree-of-thoughts,advanced-techniques,Tree-of-Thoughts の応用,draft,pages,"Tree-of-Thoughts (ToT) 応用 | 複雑な問題解決のための思考探査","Tree of Thoughts, ToT, 問題解決, 探索アルゴリズム","思考を木構造（ツリー）のように分岐・探査させ、複数の可能性を評価しながら最適な結論を導き出すTree-of-Thoughtsの概念と応用例を学びます。","簡単なブレインストーミングタスク（例：新商品の名前候補）で、ToTのように複数のアイデアを生成・評価・絞り込むプロセスをプロンプトで指示する。"
