slug,title,target_user,goal,status.content,status.handson,post_type,seo.title,seo.keywords,seo.description,handson.overview
introduction,Gemini入門,全ユーザー,Geminiファミリーの全体像を理解し、自分に合ったサービスを見つけるための出発点とする,draft,none,pages,"Google Gemini入門 | 全サービス概要、料金、始め方を解説","Gemini, Geminiとは, Gemini 料金, Gemini 始め方","Google Geminiの全貌をこの1ページで解説。対話AIから開発者向けAPI、ビジネス用ツールまで、あなたに最適なGeminiサービスを見つけましょう。",
what-is-gemini,Geminiとは？,AI初学者・学生,GeminiがどのようなAIであり、何ができるのかという基本的な概念を理解する,draft,none,pages,"Geminiとは？Googleの次世代AIを初心者向けに分かりやすく解説","Geminiとは, Google AI, マルチモーダルAI, 人工知能","Googleが開発した次世代AI「Gemini」とは何か？テキスト、画像、音声を理解するマルチモーダルAIの基本から、具体的な能力までを初心者にも分かりやすく解説します。",
gemini-family,Geminiファミリー,全ユーザー,Gemini 1.5 Pro, Flash, Nanoなど、各種モデルの特徴と違いを理解し、用途に応じた最適なモデルを選択できるようにする,draft,none,pages,"Geminiモデル一覧と比較 | 1.5 Pro, 1.5 Flash, Nanoの違い","Gemini モデル, Gemini 1.5 Pro, Gemini 1.5 Flash, Gemini Nano, AIモデル比較","Geminiファミリーの全モデル（1.5 Pro, 1.5 Flash, Nano）を徹底比較。各モデルの性能、特徴、最適な用途を理解し、あなたのプロジェクトに最適なAIを選びましょう。",
pricing,料金体系,全ユーザー,Geminiの各サービス（Advanced, Business, API）の料金体系を正確に理解し、コストを試算できるようにする,draft,none,pages,"Google Geminiの料金体系まとめ | 無料・有料プラン・API価格","Gemini 料金, Gemini Advanced 料金, Gemini API 価格, Gemini Business 価格","Google Geminiの料金体系を完全解説。無料版と有料版（Advanced, Business）の違いから、開発者向けのAPI利用料金まで、コストに関する全ての情報をまとめました。",
quickstart,クイックスタート,全ユーザー,対話AIのGeminiをすぐに使い始められるように、アカウント作成から基本的な操作方法までを案内する,draft,unverified,pages,"Geminiクイックスタートガイド | 3分で始めるGoogleの対話AI","Gemini 始め方, Gemini 使い方, Gemini アカウント, Gemini ログイン","今すぐGoogle Geminiを始めよう！このガイドでは、アカウント作成から最初の質問をするまでの手順を3分で分かりやすく解説。AIとの対話を今日から始めましょう。","Googleアカウントでのログイン、Geminiサイトへのアクセス、最初のプロンプト入力と応答の確認"
for-personal-use,個人向け活用,一般ユーザー・学生・クリエイター,日常生活や個人の学習、創造活動におけるGeminiの活用方法を学び、生産性を向上させる,draft,none,pages,"Geminiの個人向け活用術 | 日常がもっと便利になるAIの使い方","Gemini 使い方, Gemini 個人, Gemini 活用, Gemini Advanced","AIをあなたのパーソナルアシスタントに。検索、学習、趣味、旅行計画など、日常生活のあらゆる場面でGeminiとGemini Advancedを最大限に活用する方法を紹介します。",
conversational-ai,対話AI (Gemini),一般ユーザー・学生,Geminiの対話AIとしての基本的な使い方をマスターし、日常の疑問解決や情報収集に役立てる,draft,none,pages,"Gemini対話AIの使い方ガイド | 基本操作から便利な活用術まで","Gemini 使い方, Google AI, 対話AI, AIチャット","Googleの対話AI「Gemini」の基本的な使い方を徹底解説。質問、要約、翻訳、アイデア出しなど、今日から使える便利なプロンプト例も多数紹介します。",
nano-banana,画像生成 (Nano Banana),クリエイター・一般ユーザー,Nano Bananaの画像生成・編集機能を理解し、高品質な画像を自在に作成できるようにする,draft,unverified,pages,"画像生成AI「Nano Banana」の使い方 | Gemini 2.5 Flash Image","Nano Banana, Gemini 画像生成, AIイラスト, 画像編集","Geminiの最新画像生成AI「Nano Banana」を徹底解説。テキストからの高品質な画像生成、自然言語を使った精密な編集、キャラクターの一貫性を保つ方法まで、作例付きで紹介します。","簡単なプロンプトで画像を生成する。生成された画像の一部を自然言語で修正する。"
for-business-use,ビジネス向け活用,ビジネスパーソン・経営者,Gemini for Google Workspaceを中心に、ビジネスシーンでのAI活用方法を理解し、チーム全体の生産性向上を実現する,draft,none,pages,"Geminiによるビジネス変革 | Workspace連携で業務を効率化","Gemini ビジネス, Gemini Workspace, 業務効率化, AI活用","メール作成、資料作成、データ分析をAIで自動化。Gemini for Google Workspaceを導入し、チームの生産性を劇的に向上させる方法と、業界別の具体的な活用事例を解説します。",
gemini-for-google-workspace,Gemini for Google Workspace,ビジネスパーソン,Google Workspaceに統合されたGeminiの機能を理解し、日々の業務で実践できるようにする,draft,unverified,pages,"Gemini for Google Workspace完全ガイド | 導入と活用方法","Gemini Workspace, Google Workspace, Gmail, Google Docs, Google Sheets","Gmail、Docs、SheetsがAIで進化。Gemini for Google Workspaceの導入方法から、各アプリでの具体的な活用テクニックまで、業務効率を最大化するノウハウを網羅。","Gemini for Workspaceの有効化、Gmailでのメール下書き支援、Docsでの文章生成、Sheetsでの簡単なデータ整理を体験する。"
