slug,parent,title,file_path,status,post_type,target_user,goal,seo_title,seo_keywords,seo_description,handson_overview
home,,ホーム,contents/chatgpt/contents/home.md,not_started,pages,全ユーザー,"サイト訪問者にChatGPTの包括的な学習コンテンツを提供し、各レベルに適したページへの導線を設けることで、効果的な学習体験を実現する。","ChatGPT完全マスターガイド | GPT-5対応実践学習サイト","ChatGPT 学習, GPT-5 新機能, プロンプトエンジニアリング, セキュリティ対策, 実践活用","ChatGPT・GPT-5の基礎から高度な活用法まで網羅的に学べる実践型学習サイト。プロンプトエンジニアリングから企業導入まで体系的に習得できます。",不要
getting-started,,はじめに,contents/chatgpt/contents/getting-started/getting-started.md,not_started,pages,初心者,"ChatGPT初心者がサイトの使い方とChatGPTの基本概念を理解し、学習を開始するための準備ができる状態にする。","ChatGPT入門ガイド | 初心者向け基本概念と始め方","ChatGPT 入門, 初心者ガイド, 基本概念, アカウント作成, セットアップ","ChatGPT学習を始めるための完全ガイド。基本概念からアカウント作成まで初心者が迷わず始められる体系的コンテンツです。",不要
overview,getting-started,概要,contents/chatgpt/contents/getting-started/overview.md,not_started,pages,初心者,"ChatGPTの基本概念、全体像、できることを理解してもらい、学習モチベーションを向上させる。","ChatGPT概要解説 | 生成AIの基本概念と可能性","ChatGPT 概要, 生成AI, 基本概念, AI技術, GPT モデル","ChatGPTの基本概念と全体像を初心者向けに解説。生成AIの仕組みから実際にできることまで分かりやすく紹介します。",不要
what-is-chatgpt,getting-started,ChatGPTとは,contents/chatgpt/contents/getting-started/what-is-chatgpt.md,not_started,pages,初心者,"ChatGPTの正確な定義、OpenAIとの関係、他の生成AIとの違いを理解してもらう。","ChatGPTとは？ | OpenAI製生成AIの特徴と他社比較","ChatGPT とは, OpenAI, 生成AI比較, GPT モデル, 人工知能","ChatGPTの定義から開発背景、他の生成AIとの違いまで詳しく解説。OpenAIの技術と競合サービスとの比較で理解を深めます。",不要
account-setup,getting-started,アカウント作成,contents/chatgpt/contents/getting-started/account-setup.md,not_started,pages,初心者,"ChatGPTのアカウント作成手順を習得し、実際にアカウントを開設できる状態にする。","ChatGPTアカウント作成ガイド | 無料・有料プラン比較と登録手順","ChatGPT アカウント作成, 登録方法, 無料プラン, ChatGPT Plus, プラン比較","ChatGPTアカウントの作成手順を画面付きで詳しく解説。無料プランとChatGPT Plusの違いから最適なプラン選択まで。","ChatGPTアカウント作成の実践手順。メールアドレス登録、認証、プラン選択の操作を実際に行う手順を掲載。"
initial-setup,getting-started,初回セットアップ,contents/chatgpt/contents/getting-started/initial-setup.md,not_started,pages,初心者,"アカウント作成後の初期設定を完了し、効果的にChatGPTを使用できる状態にセットアップする。","ChatGPT初期設定完全ガイド | プロフィール設定とカスタマイズ","ChatGPT 初期設定, プロフィール設定, カスタマイズ, 言語設定, プライバシー設定","ChatGPTアカウント作成後の初期設定を詳しく解説。プロフィール設定からプライバシー設定まで最適な環境構築方法。","初期設定の実践手順。プロフィール設定、言語設定、通知設定、プライバシー設定の操作を実際に行う手順を掲載。"
chatgpt-basics,,ChatGPT基礎,contents/chatgpt/contents/chatgpt-basics/chatgpt-basics.md,not_started,pages,初心者・中級者,"ChatGPTの基本的な操作方法とプロンプト作成の基礎を習得し、日常業務で活用できる水準に到達する。","ChatGPT基礎完全マスター | 基本操作からプロンプト作成まで","ChatGPT 基礎, 基本操作, プロンプト作成, 初心者向け, 実践学習","ChatGPTの基本操作からプロンプト作成の基礎まで体系的に学習。初心者が確実にスキルアップできる実践的カリキュラム。",不要
basic-operations,chatgpt-basics,基本操作,contents/chatgpt/contents/chatgpt-basics/basic-operations/basic-operations.md,not_started,pages,初心者,"ChatGPTのインターフェースの使い方と基本的な操作方法を習得する。","ChatGPT基本操作ガイド | インターフェース操作と使い方","ChatGPT 基本操作, インターフェース, 操作方法, チャット操作, 基本機能","ChatGPTの基本操作を画面付きで詳しく解説。インターフェースの使い方から効果的なチャット操作まで習得できます。",不要
interface-operations,basic-operations,インターフェース操作,contents/chatgpt/contents/chatgpt-basics/basic-operations/interface-operations.md,not_started,pages,初心者,"ChatGPTの画面構成と各要素の機能を理解し、スムーズに操作できるようになる。","ChatGPTインターフェース完全ガイド | 画面構成と操作方法","ChatGPT インターフェース, 画面構成, 操作方法, UI操作, 基本画面","ChatGPTのインターフェースを詳しく解説。画面構成から各ボタンの機能まで初心者にも分かりやすく説明します。","ChatGPTインターフェースの実操作。メニュー操作、設定変更、画面切り替えなどの基本操作を実際に行う手順を掲載。"
basic-prompts,basic-operations,基本的なプロンプト作成,contents/chatgpt/contents/chatgpt-basics/basic-operations/basic-prompts.md,not_started,pages,初心者,"効果的な基本プロンプトの作成方法を習得し、望む結果を得られるようになる。","ChatGPT基本プロンプト作成 | 初心者向け効果的な指示の書き方","ChatGPT プロンプト作成, 基本プロンプト, 指示の書き方, 初心者向け, 効果的プロンプト","ChatGPTで効果的な結果を得るための基本プロンプト作成法。初心者でも分かりやすい指示の書き方を実例で学習。","基本プロンプト作成の実践。簡単な質問から複雑な指示まで段階的にプロンプトを作成し、結果を確認する手順を掲載。"
conversation-continuation,basic-operations,会話継続のコツ,contents/chatgpt/contents/chatgpt-basics/basic-operations/conversation-continuation.md,not_started,pages,初心者,"効果的な会話継続テクニックを習得し、ChatGPTとの対話を最大限に活用できるようになる。","ChatGPT会話継続テクニック | 効果的な対話術とコツ","ChatGPT 会話継続, 対話術, コンテキスト維持, 会話テクニック","ChatGPTとの効果的な会話継続方法を解説。コンテキスト維持から話題転換まで対話を深める実践的テクニック。","会話継続の実践演習。長期対話の維持、話題の展開、効果的な質問技法を実際に試す手順を掲載。"
gpts-custom-ai,,GPTs・カスタムAI構築,contents/chatgpt/contents/gpts-custom-ai/gpts-custom-ai.md,not_started,pages,中級者・上級者・開発者,"GPTsとカスタムAI構築の包括的なスキルを習得し、独自のAIアシスタントを開発・運用できるようになる。","GPTs・カスタムAI構築完全マスター | 独自AI開発・運用術","GPTs, カスタムAI構築, AI開発, GPT開発, 独自AI","GPTsとカスタムAI構築を包括的に解説。独自AIアシスタントの開発から運用まで実践的な構築技術を体系的に習得。",不要
sora-video-generation,gpt5-latest-features,Sora動画生成,contents/chatgpt/contents/gpt5-latest-features/sora-video-generation/sora-video-generation.md,not_started,pages,中級者・クリエイター,"Soraの動画生成機能を理解し、テキストから高品質動画を生成する技術の基礎を習得する。","Sora動画生成完全ガイド | テキストから動画を生成するAI技術","Sora 動画生成, テキストto動画, AI動画作成, 動画AI","OpenAI Soraの動画生成機能を包括的に解説。テキストプロンプトから高品質動画を生成する革新的AI技術の実践活用法。",不要
sora-basics,sora-video-generation,Soraの基本概念,contents/chatgpt/contents/gpt5-latest-features/sora-video-generation/sora-basics.md,not_started,pages,中級者・クリエイター,"Soraの基本概念と仕組みを理解し、動画生成AIの基礎知識を習得する。","Sora基本概念完全解説 | 動画生成AIの仕組みと特徴","Sora 基本概念, 動画生成AI, 仕組み, 特徴, OpenAI","OpenAI Soraの基本概念を詳しく解説。動画生成AIの仕組みから技術的特徴まで基礎知識を体系的に理解。","Soraの基本機能体験。簡単なテキストプロンプトから動画生成を実際に試し、基本的な操作方法を習得する手順を掲載。"
video-prompt-techniques,sora-video-generation,動画生成プロンプト技法,contents/chatgpt/contents/gpt5-latest-features/sora-video-generation/video-prompt-techniques.md,not_started,pages,中級者・クリエイター,"Soraで高品質な動画を生成するための効果的なプロンプト技法を習得する。","Sora動画プロンプト技法マスター | 高品質動画生成の秘訣","Sora プロンプト技法, 動画生成プロンプト, 高品質動画, プロンプト設計","Soraで高品質動画を生成するためのプロンプト技法。効果的な描写から技術的指定まで動画品質を向上させる実践的手法。","動画プロンプト作成の実践演習。様々なシーンの動画プロンプトを作成し、生成結果を比較検討する実習を行う手順を掲載。"
codex-overview-basics,it-software-codex,Codex概要・基本活用,contents/chatgpt/contents/industry-codex-applications/it-software-codex/codex-overview-basics.md,not_started,pages,開発者,"Codexの概要と基本的な活用法を理解し、プログラミング支援AIとしての基礎スキルを習得する。","Codex概要・基本活用ガイド | プログラミング支援AI入門","Codex 概要, プログラミング支援AI, コード生成, 開発支援","Codexの概要と基本活用法を詳細解説。プログラミング支援AIとしての特徴から基本的な使用法まで実践的に習得。","Codex基本活用の実践演習。簡単なコード生成から基本的なプログラミング支援まで実際に体験する導入手順を掲載。"
code-generation-completion,it-software-codex,コード生成・補完,contents/chatgpt/contents/industry-codex-applications/it-software-codex/code-generation-completion.md,not_started,pages,開発者,"Codexのコード生成・補完機能を習得し、効率的なプログラミングワークフローを構築する。","Codexコード生成・補完マスター | 効率的プログラミング術","Codex コード生成, コード補完, 自動コード作成, プログラミング効率化","Codexのコード生成・補完機能を効果的に活用する方法。自動コード作成から補完まで開発効率を向上させる実践技術を習得。","コード生成・補完の実践演習。様々な言語とフレームワークでコード生成・補完を実際に体験する開発支援手順を掲載。"
