slug,parent,title,file_path,status,post_type,target_user,goal,seo_title,seo_keywords,seo_description,handson_overview
gpt-creation-basics,custom-gpt-creation,GPT作成の基本,contents/chatgpt/contents/gpts-custom-ai/custom-gpt-creation/gpt-creation-basics.md,not_started,pages,中級者・上級者・開発者,"GPT作成の基本手順を習得し、最初のカスタムGPTを確実に作成できるようになる。","GPT作成基本ガイド | 初回カスタムGPT構築手順","GPT作成, カスタムGPT構築, GPT開発基本, 初回GPT作成","GPT作成の基本手順を段階的に解説。初心者でも確実にカスタムGPTを作成できる実践的な構築技術を詳細に習得。","GPT作成の実践演習。実際にカスタムGPTを一から作成し、基本的な開発プロセスを体験する詳細手順を掲載。"
settings-customization,custom-gpt-creation,設定・カスタマイズ,contents/chatgpt/contents/gpts-custom-ai/custom-gpt-creation/settings-customization.md,not_started,pages,中級者・上級者・開発者,"GPTの設定とカスタマイズ技術を習得し、目的に最適化されたAIアシスタントを構築する。","GPT設定・カスタマイズ完全ガイド | 最適化されたAI構築","GPT設定, カスタマイズ, AI最適化, GPT調整","GPTの詳細設定とカスタマイズ技術を実践的に解説。性格設定から動作調整まで最適化されたAIを構築する手法を習得。","GPT設定の実践演習。様々なパラメータ調整とカスタマイズを実際に試し、最適な設定を見つける手順を掲載。"
knowledge-base-construction,custom-gpt-creation,ナレッジベース構築,contents/chatgpt/contents/gpts-custom-ai/custom-gpt-creation/knowledge-base-construction.md,not_started,pages,中級者・上級者・開発者,"GPT用のナレッジベース構築技術を習得し、専門性の高いAIアシスタントを開発する。","GPTナレッジベース構築術 | 専門性の高いAI開発","GPT ナレッジベース, 知識ベース構築, 専門AI, データ統合","GPT用ナレッジベースの効果的構築法。専門文書の統合から知識体系化まで高度な専門性を持つAIの開発技術を習得。","ナレッジベース構築の実践演習。専門分野の文書を統合し、知識ベースを構築してGPTに組み込む実装手順を掲載。"
function-tool-integration,custom-gpt-creation,機能・ツール連携,contents/chatgpt/contents/gpts-custom-ai/custom-gpt-creation/function-tool-integration.md,not_started,pages,上級者・開発者,"GPTと外部ツールとの連携技術を習得し、高機能なAIアシスタントシステムを構築する。","GPT機能・ツール連携マスター | 高機能AIシステム構築","GPT ツール連携, 外部連携, API統合, システム統合","GPTと外部ツールの効果的連携技術。API統合からシステム連携まで高機能なAIアシスタントの構築手法を実践的に習得。","ツール連携の実践演習。外部APIとの連携設定、データ連携の実装を実際に行うシステム統合手順を掲載。"
testing-debugging,custom-gpt-creation,テスト・デバッグ,contents/chatgpt/contents/gpts-custom-ai/custom-gpt-creation/testing-debugging.md,not_started,pages,上級者・開発者,"GPTのテスト・デバッグ技術を習得し、品質の高いカスタムAIを確実に開発する。","GPTテスト・デバッグ完全ガイド | 品質保証・問題解決術","GPT テスト, デバッグ, 品質保証, 問題解決","GPTのテスト・デバッグ技術を体系的に解説。品質保証から問題解決まで確実な開発を支える実践的技術を習得。","テスト・デバッグの実践演習。様々なテストケースでGPTを検証し、問題を発見・解決するデバッグプロセスを体験する手順を掲載。"
industry-codex-applications,,業界別実践活用・Codex,contents/chatgpt/contents/industry-codex-applications/industry-codex-applications.md,not_started,pages,開発者・業界実務者,"業界特化の実践活用とCodex技術を組み合わせ、プログラミング支援を含む高度な業務自動化を実現する。","業界別実践活用・Codex完全ガイド | プログラミング支援・業務自動化","業界別活用, Codex, プログラミング支援, コード生成, 業務自動化","業界特化の実践活用とCodexを組み合わせた高度な業務自動化。各業界でのプログラミング支援から自動化まで実践技術を習得。",不要
it-software-codex,industry-codex-applications,IT・ソフトウェア開発・Codex,contents/chatgpt/contents/industry-codex-applications/it-software-codex/it-software-codex.md,not_started,pages,開発者・IT業界実務者,"IT・ソフトウェア開発分野でのCodex活用技術を習得し、開発効率を大幅に向上させる。","IT・ソフトウェア開発Codex活用術 | 開発効率化・自動化技術","IT開発 Codex活用, ソフトウェア開発, プログラミング支援, 開発効率化","IT・ソフトウェア開発分野でのCodex包括活用法。コード生成から開発支援まで実際の開発業務を効率化する実践技術を習得。",不要
codex-overview-basics,it-software-codex,Codex概要・基本活用,contents/chatgpt/contents/industry-codex-applications/it-software-codex/codex-overview-basics.md,not_started,pages,開発者,"Codexの概要と基本的な活用法を理解し、プログラミング支援AIとしての基礎スキルを習得する。","Codex概要・基本活用ガイド | プログラミング支援AI入門","Codex 概要, プログラミング支援AI, コード生成, 開発支援","Codexの概要と基本活用法を詳細解説。プログラミング支援AIとしての特徴から基本的な使用法まで実践的に習得。","Codex基本活用の実践演習。簡単なコード生成から基本的なプログラミング支援まで実際に体験する導入手順を掲載。"
code-generation-completion,it-software-codex,コード生成・補完,contents/chatgpt/contents/industry-codex-applications/it-software-codex/code-generation-completion.md,not_started,pages,開発者,"Codexのコード生成・補完機能を習得し、効率的なプログラミングワークフローを構築する。","Codexコード生成・補完マスター | 効率的プログラミング術","Codex コード生成, コード補完, 自動コード作成, プログラミング効率化","Codexのコード生成・補完機能を効果的に活用する方法。自動コード作成から補完まで開発効率を向上させる実践技術を習得。","コード生成・補完の実践演習。様々な言語とフレームワークでコード生成・補完を実際に体験する開発支援手順を掲載。"
refactoring-support,it-software-codex,リファクタリング支援,contents/chatgpt/contents/industry-codex-applications/it-software-codex/refactoring-support.md,not_started,pages,開発者,"Codexを活用したリファクタリング支援技術を習得し、コード品質の継続的改善を実現する。","Codexリファクタリング支援術 | コード品質向上・最適化","Codex リファクタリング, コード最適化, 品質向上, 保守性改善","Codexを活用した効果的なリファクタリング支援法。既存コードの改善から最適化まで品質向上を実現する実践技術を習得。","リファクタリング支援の実践演習。既存のレガシーコードをCodexで改善し、品質向上プロセスを体験する手順を掲載。"
