slug,parent,title,filepath,status,post_type,target,goal,seo_title,seo_keywords,seo_description,handson_overview
home,,ホーム,contents/home.md,not_started,pages,初学者,"本サイトの全体像と学習導線を示し、利用者が自分に合った学習パスを選べるようにする。","OpenAI完全ガイド | 学習パスと活用法","OpenAI 入門, ChatGPT 使い方, OpenAI 学習パス","OpenAIの学習をこれから始める人向けに、全体像・学習パス・到達目標をひと目で把握できるトップページです。",不要
getting-started,,はじめに,contents/getting-started/getting-started.md,not_started,pages,初学者,"OpenAI/ChatGPTの概要とサイトの使い方、学習前提を理解してスムーズに学習開始できるようにする。","はじめに | OpenAI学習の前提とサイトの使い方","OpenAI とは, ChatGPT とは, 学習ロードマップ","OpenAIを初めて学ぶ方向けに、目的・範囲・前提知識・学習の進め方をコンパクトに案内します。",不要
overview,getting-started,概要,contents/getting-started/overview.md,not_started,pages,初学者,"OpenAIのプロダクト全体像を把握し、どのページから学習を始めるか判断できるようにする。","OpenAIの全体像を5分で理解","OpenAI 製品, サービス 一覧, 初心者向け 概要","ChatGPT/各API/モデル群/法人向けプランの関係を図解で整理し、最短で全体像を掴めます。",不要
what-is-chatgpt,getting-started,ChatGPTとは,contents/getting-started/what-is-chatgpt.md,not_started,pages,初学者,"ChatGPTの特徴・できること/できないことを理解し、適切な期待値で使い始められるようにする。","ChatGPTとは？仕組みと活用例","ChatGPT 使い方, できること, できないこと","ChatGPTの基本とユースケース、注意点を初心者向けに解説します。",不要
account-setup,getting-started,アカウント作成,contents/getting-started/account-setup.md,not_started,pages,初学者,"OpenAIアカウント作成と初期設定を完了し、学習の準備を整える。","OpenAIアカウントの作り方と注意点","OpenAI アカウント 作成, 登録 手順","メール認証から支払い設定まで、画像付きでわかりやすく案内します。","アカウント作成→メール認証→2段階認証→支払い設定までを手順化。"
first-setup,getting-started,初回セットアップ,contents/getting-started/first-setup.md,not_started,pages,初学者,"学習用に最小の作業環境（CLI/SDK/APIキー管理）を整える。","はじめての環境構築 | SDKとAPIキー設定","OpenAI SDK, APIキー, 初期設定","Node/PythonのSDK導入と環境変数でのキー管理を最短でセットアップ。","Node/PythonのSDKインストール→.env設定→テストAPI呼び出し"
level1-chatgpt-basics,,ChatGPT基礎,contents/level1-chatgpt-basics/level1-chatgpt-basics.md,not_started,pages,初学者,"日常業務でChatGPTを使いこなす基本スキルを身につける。","ChatGPT基礎マスター | 日常活用の第一歩","ChatGPT 基本操作, プロンプト 基礎, 活用 例","UI操作・プロンプトの型・活用パターンを体系的に学べます。",不要
basic-operations,level1-chatgpt-basics,基本操作,contents/level1-chatgpt-basics/basic-operations/basic-operations.md,not_started,pages,初学者,"ChatGPTの画面操作と基本的なやり取りの流れを身につける。","ChatGPTの基本操作ガイド","ChatGPT 画面 操作, 使い方 初心者","インターフェースの各機能と使いどころを図解で解説。",不要
interface,basic-operations,インターフェース操作,contents/level1-chatgpt-basics/basic-operations/interface.md,not_started,pages,初学者,"UIの各機能の意味と使い方を理解し操作に迷わないようにする。","ChatGPTインターフェース徹底解説","ChatGPT UI, 設定 方法, ショートカット","チャット画面・設定・履歴・アップロードなどの要点を整理。",不要
prompt-basics,basic-operations,基本的なプロンプト作成,contents/level1-chatgpt-basics/basic-operations/prompt-basics.md,not_started,pages,初学者,"明確な指示を短く作るための基礎スキルを習得する。","はじめてのプロンプト作成","プロンプト 入門, 指示の出し方, 初心者","目的→前提→制約→出力形式の基本型で迷わず書けるようになります。","基本型テンプレ → 小課題で反復練習"
