slug,parent,title,file_path,status,post_type,target_user,goal,seo_title,seo_keywords,seo_description,handson_overview
gpt5-overview,gpt5-latest-features,GPT-5概要,contents/chatgpt/contents/gpt5-latest-features/gpt5-overview/gpt5-overview.md,not_started,pages,中級者,"GPT-5の概要と全体的な改善点を理解し、新機能活用の基礎知識を習得する。","GPT-5完全概要ガイド | 革新的AI技術の全貌解説","GPT-5 概要, 新機能, 革新技術, AI進化, 性能向上","GPT-5の革新的な概要を包括的に解説。新技術の詳細から実用性まで次世代AIの全貌を体系的に理解。",不要
differences-from-gpt4,gpt5-overview,GPT-4との違い,contents/chatgpt/contents/gpt5-latest-features/gpt5-overview/differences-from-gpt4.md,not_started,pages,中級者,"GPT-5とGPT-4の具体的な違いを理解し、アップグレードのメリットを把握する。","GPT-5 vs GPT-4徹底比較 | 性能向上点と新機能解説","GPT-5 GPT-4 比較, 性能向上, 機能差分, アップグレード, AI進化","GPT-5とGPT-4の詳細比較。性能向上点から新機能まで具体的な違いと実用上のメリットを詳しく解説。","GPT-4とGPT-5の比較実験。同じタスクを両バージョンで実行し、性能差を実際に確認する手順を掲載。"
performance-improvements,gpt5-overview,パフォーマンス向上点,contents/chatgpt/contents/gpt5-latest-features/gpt5-overview/performance-improvements.md,not_started,pages,中級者,"GPT-5の具体的なパフォーマンス向上を理解し、実践的な活用場面を把握する。","GPT-5パフォーマンス向上詳細解析 | 速度・精度・効率性の飛躍","GPT-5 パフォーマンス向上, 処理速度, 回答精度, 効率性向上","GPT-5の具体的なパフォーマンス向上点を詳細分析。処理速度から回答精度まで実用上の改善効果を実例で解説。","パフォーマンス検証の実践。処理時間測定、精度比較、効率性評価を実際に行う性能検証手順を掲載。"
new-features-list,gpt5-overview,新機能一覧,contents/chatgpt/contents/gpt5-latest-features/gpt5-overview/new-features-list.md,not_started,pages,中級者,"GPT-5の全新機能を体系的に理解し、それぞれの活用場面を把握する。","GPT-5新機能完全一覧 | 全機能詳細解説と活用法","GPT-5 新機能, 機能一覧, 活用法, 最新技術, 機能解説","GPT-5の全新機能を網羅的に解説。思考モードからマルチモーダルまで各機能の特徴と実践的活用法を詳細紹介。","新機能体験の実践。各新機能を実際に使用し、特徴と効果を確認する体験型学習手順を掲載。"
available-plans,gpt5-overview,利用可能プラン,contents/chatgpt/contents/gpt5-latest-features/gpt5-overview/available-plans.md,not_started,pages,中級者,"GPT-5の利用可能プランを理解し、最適なプラン選択ができるようになる。","GPT-5プラン完全ガイド | 料金・機能・選択指針","GPT-5 料金プラン, ChatGPT Plus, プラン比較, 機能制限","GPT-5利用プランの詳細比較。無料版から有料版まで各プランの機能差と最適な選択基準を詳しく解説。",不要
mode-switching,thinking-mode,使い分けのポイント,contents/chatgpt/contents/gpt5-latest-features/thinking-mode/mode-switching.md,not_started,pages,中級者・上級者,"思考モードと非思考モードの効果的な使い分けを習得し、タスクに応じた最適選択ができるようになる。","GPT-5思考モード使い分け完全ガイド | タスク別最適選択術","GPT-5 思考モード, 非思考モード, モード切り替え, タスク別活用","GPT-5の思考モードと非思考モードの効果的な使い分け。タスクの特性に応じた最適なモード選択基準を実践的に解説。","モード使い分けの実践演習。様々なタスクで両モードを試し、効果的な使い分け基準を体得する手順を掲載。"
complex-reasoning,thinking-mode,複雑な推論,contents/chatgpt/contents/gpt5-latest-features/thinking-mode/complex-reasoning.md,not_started,pages,中級者・上級者,"思考モードを活用した複雑推論技術を習得し、高度な問題解決に応用できるスキルを身につける。","GPT-5複雑推論マスター | 思考モードで高度問題解決","GPT-5 複雑推論, 思考モード, 問題解決, 論理的思考, 高度分析","GPT-5思考モードを活用した複雑推論技術。多段階推論から因果関係分析まで高度な思考プロセスを実践的に習得。","複雑推論の実践演習。多段階論理問題、因果関係分析、複合的判断課題を思考モードで実際に解く手順を掲載。"
math-logic-problems,thinking-mode,数学・論理問題,contents/chatgpt/contents/gpt5-latest-features/thinking-mode/math-logic-problems.md,not_started,pages,中級者・上級者,"思考モードを活用した数学・論理問題解決技術を習得し、正確な計算と論理展開ができるようになる。","GPT-5数学・論理問題解決術 | 思考モードで正確計算","GPT-5 数学問題, 論理問題, 思考モード, 正確計算, 論理展開","GPT-5思考モードによる数学・論理問題の効果的解決法。段階的計算から複雑な論理展開まで正確な解法プロセスを習得。","数学・論理問題の実践演習。代数問題、幾何問題、論理パズルを思考モードで実際に解き、解法プロセスを体験する手順を掲載。"
creative-planning,thinking-mode,創作・企画立案,contents/chatgpt/contents/gpt5-latest-features/thinking-mode/creative-planning.md,not_started,pages,中級者・上級者,"思考モードを活用した創作・企画立案技術を習得し、体系的で創造的な企画を生成できるスキルを身につける。","GPT-5創作・企画立案術 | 思考モードで体系的企画生成","GPT-5 創作, 企画立案, 思考モード, 創造的思考, 体系的企画","GPT-5思考モードによる創作・企画立案の効果的手法。アイデア発想から体系的な企画構築まで創造性を高める実践技術。","創作・企画立案の実践演習。小説プロット、事業企画、イベント企画を思考モードで実際に立案する創作プロセスを体験する手順を掲載。"
non-thinking-mode,gpt5-latest-features,非思考モード,contents/chatgpt/contents/gpt5-latest-features/non-thinking-mode/non-thinking-mode.md,not_started,pages,中級者,"非思考モードの特徴と活用場面を理解し、高速処理が必要なタスクで効果的に活用できるようになる。","GPT-5非思考モード完全ガイド | 高速処理・効率化活用術","GPT-5 非思考モード, 高速処理, 効率化, リアルタイム対応","GPT-5非思考モードの特徴と効果的活用法。高速レスポンスが必要な場面での最適な活用パターンを実践的に解説。",不要
fast-response,non-thinking-mode,高速レスポンス活用,contents/chatgpt/contents/gpt5-latest-features/non-thinking-mode/fast-response.md,not_started,pages,中級者,"非思考モードの高速レスポンス機能を活用し、リアルタイムでの効率的な作業を実現する。","GPT-5高速レスポンス活用術 | 非思考モードで効率化","GPT-5 高速レスポンス, 非思考モード, リアルタイム処理, 効率化","GPT-5非思考モードの高速レスポンス活用法。リアルタイム作業から効率化まで高速処理の実践的活用術を詳解。","高速レスポンス活用の実践演習。リアルタイム翻訳、即座の要約、高速データ処理を実際に体験する手順を掲載。"
