slug,parent,title,file_path,target_user,goal,status,post_type,seo_title,seo_keywords,seo_description,handson_overview
home,,ホーム,contents/gitlab/contents/home.md,DevOpsエンジニア,"GitLabの包括的な学習リソースとして、訪問者にサイトの価値を理解してもらい、適切な学習パスに誘導する",not_started,pages,GitLab実践ガイド - CI/CD・DevOps完全マスター,"GitLab 入門, GitLab チュートリアル, CI/CD, DevOps, GitLab Runner","GitLabの導入から高度な活用まで、CI/CD構築・DevSecOps実装・エンタープライズ運用を日本語で体系的に学べる実践ガイド",不要
getting-started,,はじめに,contents/gitlab/contents/getting-started/getting-started.md,DevOpsエンジニア,"GitLab初心者に対して学習の入口として機能し、基本概念の理解から実際の操作まで段階的に学習できるガイドを提供する",not_started,pages,GitLab入門完全ガイド | 基礎から学ぶGitLab活用術,"GitLab 入門, GitLab 基礎, DevOps 入門, Git 基礎","GitLab学習の第一歩。基本概念から実際の操作まで、初心者が迷わずに学習を進められる体系的なガイドです。",不要
gitlab-overview,getting-started,GitLab概要,contents/gitlab/contents/getting-started/gitlab-overview.md,DevOpsエンジニア,"GitLabの全体像、特徴、メリットを理解し、なぜGitLabを選ぶべきかを明確にする",not_started,pages,GitLab概要解説 | DevSecOpsプラットフォームの全体像,"GitLab 概要, GitLab 特徴, DevSecOps, Git プラットフォーム","GitLabの基本概念と特徴を分かりやすく解説。DevSecOpsプラットフォームとしての価値と導入メリットを理解できます。",不要
account-creation,getting-started,アカウント作成,contents/gitlab/contents/getting-started/basic-setup/account-creation.md,DevOpsエンジニア,"GitLabアカウントの作成手順を提供し、実際にGitLabを使い始められる状態にする",not_started,pages,GitLabアカウント作成ガイド | 無料登録から初期設定まで,"GitLab アカウント作成, GitLab 登録, GitLab セットアップ","GitLabアカウントの作成から初期設定まで、スクリーンショット付きで分かりやすく解説します。","GitLabアカウントの作成、メール認証、プロフィール設定、初期設定の確認手順"
ssh-key-setup,getting-started,SSH鍵設定,contents/gitlab/contents/getting-started/basic-setup/ssh-key-setup.md,DevOpsエンジニア,"SSH鍵の生成から GitLabへの登録まで、セキュアな接続設定を完了する",not_started,pages,GitLab SSH鍵設定完全ガイド | セキュアな接続設定,"GitLab SSH鍵, SSH設定, Git 認証, セキュア接続","GitLabでのSSH鍵設定を詳しく解説。鍵の生成から登録、接続テストまで安全な開発環境を構築できます。","SSH鍵の生成、GitLabへの公開鍵登録、接続テストの実行手順"
first-project,getting-started,初回プロジェクト作成,contents/gitlab/contents/getting-started/basic-setup/first-project.md,DevOpsエンジニア,"初回プロジェクトの作成を通じて、GitLabの基本操作を実践的に学習する",not_started,pages,GitLab初回プロジェクト作成ガイド | はじめてのリポジトリ,"GitLab プロジェクト作成, GitLab リポジトリ, Git 初心者","GitLabでの初回プロジェクト作成手順を詳しく解説。リポジトリ作成からファイルアップロードまで実践的に学習できます。","プロジェクト作成、リポジトリの初期化、READMEファイルの作成、初回コミットの実行手順"
git-basics,getting-started,Git基本操作,contents/gitlab/contents/getting-started/basic-operations/git-basics.md,DevOpsエンジニア,"GitLabにおけるGitの基本操作を習得し、日常的な開発作業ができるようになる",not_started,pages,GitLab Git基本操作マスターガイド | clone・commit・push,"Git 基本操作, GitLab Git, clone commit push, Git 初心者","GitLabでのGit基本操作を実践的に解説。clone、add、commit、pushの基本フローから日常的な開発作業まで習得できます。","リポジトリのクローン、ファイル編集、ステージング、コミット、プッシュの実行手順"
issue-management,getting-started,Issue管理,contents/gitlab/contents/getting-started/basic-operations/issue-management.md,開発チームリーダー,"GitLabのIssue機能を活用したプロジェクト管理の基本を理解し、チーム開発に活用できるようになる",not_started,pages,GitLab Issue管理完全ガイド | タスク管理とプロジェクト運営,"GitLab Issue, タスク管理, プロジェクト管理, ラベル, マイルストーン","GitLabのIssue機能を使った効果的なタスク・プロジェクト管理手法。ラベル、マイルストーン、担当者設定を詳しく解説します。","Issue作成、ラベル設定、担当者アサイン、マイルストーン設定、Issue管理の実行手順"
merge-requests,getting-started,マージリクエスト,contents/gitlab/contents/getting-started/basic-operations/merge-requests.md,DevOpsエンジニア,"マージリクエストの作成からレビュー、マージまでのワークフローを理解し、チーム開発で活用できるようになる",not_started,pages,GitLabマージリクエスト完全ガイド | コードレビューワークフロー,"GitLab マージリクエスト, コードレビュー, MR, ブランチ戦略","GitLabのマージリクエスト機能を使ったコードレビューワークフロー。作成からレビュー、マージまで詳しく解説します。","ブランチ作成、変更のコミット、マージリクエスト作成、レビュー実行、マージの完了手順"
github-comparison,getting-started,GitHub比較,contents/gitlab/contents/getting-started/github-comparison.md,開発チームリーダー,"GitHubとGitLabの機能比較を通じて、GitLab選択の根拠と移行メリットを理解する",not_started,pages,GitLab vs GitHub徹底比較 | 機能・価格・移行メリット,"GitLab GitHub 比較, GitLab GitHub 違い, 移行メリット, DevOps プラットフォーム","GitLabとGitHubの詳細比較。機能、価格、DevOps機能、セルフホスト機能の違いから最適な選択をサポートします。",不要
cicd-master,,CI/CDマスター,contents/gitlab/contents/cicd-master/cicd-master.md,DevOpsエンジニア,"GitLabのCI/CD機能の全体像を理解し、実践的なパイプライン構築スキルの習得ロードマップを提供する",not_started,pages,GitLab CI/CD完全マスターガイド | パイプライン構築から最適化まで,"GitLab CI/CD, パイプライン, .gitlab-ci.yml, DevOps 自動化","GitLabのCI/CD機能を基礎から応用まで体系的に学習。.gitlab-ci.ymlの書き方からパイプライン最適化まで完全習得できます。",不要
