slug,parent,title,filepath,target_user,goal,status,post_type,seo_title,seo_keywords,seo_description,handson_overview
home,,Claude Code完全ガイド,contents/home.md,初学者,"Claude Code完全ガイドサイトのホームページとして、Claude Codeの概要と主要コンテンツへのナビゲーションを提供し、ユーザーが目的に応じたコンテンツにアクセスできるようにする",not_started,pages,"Claude Code完全ガイド | AIコーディングツールの包括的学習リソース","Claude Code, AIコーディング, 開発効率化, 技術ドキュメント, 学習ガイド","Claude Codeを学ぶための包括的な技術ドキュメンテーションサイト。初心者から上級者まで、段階的に学習できる実践的なガイドとケーススタディを提供します。",不要
getting-started,,入門・セットアップ,contents/getting-started/getting-started.md,初学者,"Claude Codeの導入を検討するユーザーに対して、基本概念から環境構築まで体系的に学習できる入口を提供し、安心してClaude Codeを始められるようにする",not_started,pages,"Claude Code入門・セットアップガイド | 初心者向け完全マニュアル","Claude Code 入門, セットアップ, インストール, 初心者ガイド, 環境構築","Claude Code学習の第一歩。基本概念の理解からインストール、初期設定まで、初心者が迷わずに始められる包括的なセットアップガイドです。",不要
overview,getting-started,Claude Code概要,contents/getting-started/overview/overview.md,初学者,"Claude Codeの基本概念と価値提案を理解してもらい、他のAIツールとの違いや導入メリットを明確にすることで、学習継続のモチベーションを高める",not_started,pages,"Claude Code概要 | AIコーディングツールの特徴と価値提案","Claude Code 概要, 特徴, 価値提案, AIツール比較, 導入メリット","Claude Codeとは何か、他のAIコーディングツールとの違い、導入によるメリットとROIを詳しく解説。技術選定の判断材料となる包括的な概要ガイドです。",不要
what-is-claude-code,overview,Claude Codeとは何か,contents/getting-started/overview/what-is-claude-code.md,初学者,"Claude Codeの基本的な定義と機能を理解してもらい、AIコーディングツールとしての位置づけを明確にする",not_started,pages,"Claude Codeとは何か | AIコーディングエージェントの基本解説","Claude Code とは, AIコーディング, エージェント型ツール, 自然言語プログラミング","Claude Codeの基本的な定義と機能を初心者向けに解説。AIコーディングエージェントとしての特徴と従来の開発ツールとの違いを分かりやすく説明します。","Claude Codeの基本コマンドを体験し、簡単なコード生成を行う基本操作の確認"
comparison-with-ai-tools,overview,他のAIツールとの比較,contents/getting-started/overview/comparison-with-ai-tools.md,意思決定者,"Claude CodeとGitHub Copilot、Cursor等の競合ツールとの違いを明確にし、適切な技術選定の判断材料を提供する",not_started,pages,"Claude Code vs 他のAIツール比較 | 技術選定の決定版ガイド","Claude Code 比較, GitHub Copilot, Cursor, AIツール比較, 技術選定","Claude CodeとGitHub Copilot、Cursor、Windsurf等の主要AIコーディングツールとの詳細比較。機能、料金、適用場面の違いを技術責任者向けに解説します。","各AIツールの実際の動作を比較検証するハンズオン形式での機能比較"
introduction-benefits-roi,overview,導入メリット・ROI,contents/getting-started/overview/introduction-benefits-roi.md,意思決定者,"Claude Code導入による具体的なメリットとROIを定量的に示し、投資判断の根拠を提供する",not_started,pages,"Claude Code導入メリット・ROI分析 | 投資対効果の定量評価","Claude Code ROI, 導入メリット, 投資対効果, 開発効率化, コスト削減","Claude Code導入による開発時間短縮、品質向上、コスト削減効果を定量的に分析。実際のプロジェクト事例に基づくROI計算方法と投資判断の指標を提供します。","ROI計算シミュレーターを使用したコスト効果分析の実践"
system-requirements,overview,システム要件,contents/getting-started/overview/system-requirements.md,実践者,"Claude Code導入に必要なシステム要件を明確にし、事前準備を適切に行えるようにする",not_started,pages,"Claude Codeシステム要件 | 動作環境と前提条件","Claude Code システム要件, 動作環境, 必要スペック, 互換性, 前提条件","Claude Code導入に必要なシステム要件を詳細解説。OS別の動作環境、必要なソフトウェア、ハードウェアスペック、ネットワーク要件を網羅的に説明します。","システム要件チェックリストを使用した環境確認手順"
installation,getting-started,インストールガイド,contents/getting-started/installation/installation.md,初学者,"Claude Codeのインストール手順をOS別に詳しく解説し、初心者でも確実にセットアップできるようにする",not_started,pages,"Claude Codeインストールガイド | OS別詳細手順書","Claude Code インストール, セットアップ, npm, Node.js, 環境構築","Claude CodeのインストールをOS別に詳しく解説。Node.js環境の準備からnpmインストール、認証設定まで、初心者向けのステップバイステップガイドです。",不要
macos-installation,installation,macOS版インストール,contents/getting-started/installation/macos-installation.md,初学者,"macOS環境でのClaude Code具体的なインストール手順を提供し、macOSユーザーが安心してセットアップできるようにする",not_started,pages,"Claude Code macOS版インストール | Mac環境での詳細手順","Claude Code macOS, Mac インストール, Homebrew, ターミナル設定","macOS環境でのClaude Code詳細インストール手順。Homebrewを使ったNode.js導入からターミナル設定、権限問題の対処まで、Mac特有の手順を詳しく解説します。","macOSでのNode.js環境構築からClaude Codeインストール、初回起動までの実際の手順を実行"
windows-installation,installation,Windows版インストール,contents/getting-started/installation/windows-installation.md,初学者,"Windows環境でのClaude Code具体的なインストール手順を提供し、WindowsユーザーがWSL環境も含めて適切にセットアップできるようにする",not_started,pages,"Claude Code Windows版インストール | Windows・WSL環境対応","Claude Code Windows, WSL インストール, PowerShell, 環境変数","Windows環境でのClaude Code詳細インストール手順。PowerShellでの実行からWSL環境での設定、環境変数の設定まで、Windows特有の課題と解決法を詳しく解説します。","WindowsとWSL両環境でのClaude Codeセットアップと動作確認"
