slug,parent,title,file_path,status,post_type,target_user,goal,seo_title,seo_keywords,seo_description,handson_overview
routine-automation,non-thinking-mode,定型業務の自動化,contents/chatgpt/contents/gpt5-latest-features/non-thinking-mode/routine-automation.md,not_started,pages,中級者,"非思考モードを活用した定型業務自動化技術を習得し、業務効率を大幅に向上させる。","GPT-5定型業務自動化術 | 非思考モードで効率化","GPT-5 定型業務自動化, 非思考モード, 業務効率化, 自動化","GPT-5非思考モードによる定型業務の効果的自動化。メール作成から報告書まで反復作業を効率化する実践的手法。","定型業務自動化の実践演習。メール定型文作成、報告書フォーマット生成、データ入力作業の自動化を実際に体験する手順を掲載。"
realtime-dialogue,non-thinking-mode,リアルタイム対話,contents/chatgpt/contents/gpt5-latest-features/non-thinking-mode/realtime-dialogue.md,not_started,pages,中級者,"非思考モードを活用したリアルタイム対話技術を習得し、スムーズな対話型作業を実現する。","GPT-5リアルタイム対話術 | 非思考モードで流れるような対話","GPT-5 リアルタイム対話, 非思考モード, 対話効率化, 即応対話","GPT-5非思考モードによるリアルタイム対話の最適化。素早い応答と流れるような対話を実現する実践的対話術。","リアルタイム対話の実践演習。高速質疑応答、連続的な対話展開、即座のフィードバック対応を実際に体験する手順を掲載。"
multimodal,gpt5-latest-features,マルチモーダル活用,contents/chatgpt/contents/gpt5-latest-features/multimodal/multimodal.md,not_started,pages,中級者,"GPT-5のマルチモーダル機能を理解し、テキスト・画像・音声を統合した高度な活用法を習得する。","GPT-5マルチモーダル完全活用ガイド | テキスト・画像・音声統合","GPT-5 マルチモーダル, 画像解析, 音声認識, 統合活用","GPT-5のマルチモーダル機能を包括的に解説。テキスト・画像・音声の統合活用から実践的応用まで体系的に習得。",不要
image-analysis,multimodal,画像解析・生成,contents/chatgpt/contents/gpt5-latest-features/multimodal/image-analysis.md,not_started,pages,中級者,"GPT-5の画像解析・生成機能を習得し、ビジュアルコンテンツを効果的に活用できるスキルを身につける。","GPT-5画像解析・生成完全ガイド | ビジュアルAI活用術","GPT-5 画像解析, 画像生成, ビジュアルAI, 画像処理","GPT-5の画像解析・生成機能を詳細解説。写真解析から画像生成まで視覚的コンテンツの効果的活用法を実践的に習得。","画像解析・生成の実践演習。写真の内容分析、図表の解説生成、カスタム画像作成を実際に行う画像処理体験手順を掲載。"
voice-recognition,multimodal,音声認識・合成,contents/chatgpt/contents/gpt5-latest-features/multimodal/voice-recognition.md,not_started,pages,中級者,"GPT-5の音声認識・合成機能を習得し、音声を活用した効率的な作業環境を構築する。","GPT-5音声認識・合成活用術 | ボイスAI完全活用法","GPT-5 音声認識, 音声合成, ボイスAI, 音声処理","GPT-5の音声認識・合成機能を効果的に活用する方法。音声入力から合成音声まで聴覚的インターフェースの実践的活用術。","音声認識・合成の実践演習。音声での質問入力、会話記録の文字起こし、音声ガイド生成を実際に体験する手順を掲載。"
code-analysis,multimodal,コード解析・生成,contents/chatgpt/contents/gpt5-latest-features/multimodal/code-analysis.md,not_started,pages,中級者・開発者,"GPT-5のコード解析・生成機能を習得し、プログラミング作業を大幅に効率化する。","GPT-5コード解析・生成マスター | プログラミングAI活用術","GPT-5 コード解析, コード生成, プログラミングAI, 開発効率化","GPT-5のコード解析・生成機能を詳細解説。既存コードの分析から新規コード生成まで開発作業の効率化を実践的に習得。","コード解析・生成の実践演習。既存コードの機能解析、バグ発見、新規コード自動生成を実際に体験する開発支援手順を掲載。"
data-visualization,multimodal,データ可視化,contents/chatgpt/contents/gpt5-latest-features/multimodal/data-visualization.md,not_started,pages,中級者,"GPT-5のデータ可視化機能を習得し、データ分析結果を効果的に視覚表現できるスキルを身につける。","GPT-5データ可視化完全ガイド | AI支援チャート・グラフ作成","GPT-5 データ可視化, チャート作成, グラフ生成, データ分析","GPT-5のデータ可視化機能を効果的に活用する方法。データ分析から視覚的表現まで分析結果の効果的な可視化技術。","データ可視化の実践演習。売上データのグラフ化、アンケート結果のチャート作成、トレンド分析の視覚化を実際に体験する手順を掲載。"
sora-video-generation,gpt5-latest-features,Sora動画生成,contents/chatgpt/contents/gpt5-latest-features/sora-video-generation/sora-video-generation.md,not_started,pages,中級者・クリエイター,"Soraの動画生成機能を理解し、テキストから高品質動画を生成する技術の基礎を習得する。","Sora動画生成完全ガイド | テキストから動画を生成するAI技術","Sora 動画生成, テキストto動画, AI動画作成, 動画AI","OpenAI Soraの動画生成機能を包括的に解説。テキストプロンプトから高品質動画を生成する革新的AI技術の実践活用法。",不要
sora-basics,sora-video-generation,Soraの基本概念,contents/chatgpt/contents/gpt5-latest-features/sora-video-generation/sora-basics.md,not_started,pages,中級者・クリエイター,"Soraの基本概念と仕組みを理解し、動画生成AIの基礎知識を習得する。","Sora基本概念完全解説 | 動画生成AIの仕組みと特徴","Sora 基本概念, 動画生成AI, 仕組み, 特徴, OpenAI","OpenAI Soraの基本概念を詳しく解説。動画生成AIの仕組みから技術的特徴まで基礎知識を体系的に理解。","Soraの基本機能体験。簡単なテキストプロンプトから動画生成を実際に試し、基本的な操作方法を習得する手順を掲載。"
video-prompt-techniques,sora-video-generation,動画生成プロンプト技法,contents/chatgpt/contents/gpt5-latest-features/sora-video-generation/video-prompt-techniques.md,not_started,pages,中級者・クリエイター,"Soraで高品質な動画を生成するための効果的なプロンプト技法を習得する。","Sora動画プロンプト技法マスター | 高品質動画生成の秘訣","Sora プロンプト技法, 動画生成プロンプト, 高品質動画, プロンプト設計","Soraで高品質動画を生成するためのプロンプト技法。効果的な描写から技術的指定まで動画品質を向上させる実践的手法。","動画プロンプト作成の実践演習。様々なシーンの動画プロンプトを作成し、生成結果を比較検討する実習を行う手順を掲載。"
creative-applications,sora-video-generation,クリエイティブ活用法,contents/chatgpt/contents/gpt5-latest-features/sora-video-generation/creative-applications.md,not_started,pages,中級者・クリエイター,"Soraをクリエイティブ制作に活用する技術を習得し、独創的な動画コンテンツを創出できるスキルを身につける。","Soraクリエイティブ活用術 | 芸術的動画制作・表現技法","Sora クリエイティブ活用, 芸術的動画, 創造的表現, 動画アート","Soraのクリエイティブ活用法を詳細解説。芸術的表現から実験的映像まで創造性を最大化する動画制作技術を実践的に習得。","クリエイティブ動画制作の実践演習。アート動画、実験映像、創造的ストーリーテリングをSoraで実際に制作する創作手順を掲載。"
business-use-cases,sora-video-generation,ビジネス活用事例,contents/chatgpt/contents/gpt5-latest-features/sora-video-generation/business-use-cases.md,not_started,pages,中級者・ビジネスユーザー,"Soraをビジネスシーンで効果的に活用する方法を習得し、マーケティングや教育コンテンツ制作に応用する。","Soraビジネス活用事例集 | マーケティング・教育動画制作術","Sora ビジネス活用, マーケティング動画, 教育コンテンツ, 商用動画制作","Soraのビジネス活用事例を具体的に解説。マーケティング動画から教育コンテンツまで実務に直結する動画制作活用法。","ビジネス動画制作の実践演習。商品紹介動画、教育コンテンツ、プレゼン動画をSoraで実際に制作するビジネス活用手順を掲載。"
